РПД,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
РПД_000092819.docx,Б1.В.04 «Психология управления»,«Психология управления»,«Эффективное государственное управление»,бакалавр,очная,2023,5,[],0.31087281582109916,0.359537396235558,0.604280421175216
РПД_000110710.docx,Б1.В.15.02 «Основы GR-менеджмента»,«Основы GR-менеджмента»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,7,"['Теория и практика рекламы и связей с общественностью', 'Психология управления']",0.4166110009712203,0.6393031394395062,0.643260407051306
РПД_000076462.docx,Б1.В.ДВ.05.01 «Оценка эффективности органов власти и служащих»,«Оценка эффективности органов власти и служащих»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,8,[],0.3936366739940085,0.3204076659049479,0.3746784754237286
РПД_000106123.docx,Б1.В.ДВ.01.01 «Электронные технологии предоставления государственных услуг»,«Электронные технологии предоставления государственных услуг»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,8,"['Институты гражданского общества', 'Статистические методы в государственном и муниципальном управлении', 'Практикум ""Внутренняя политика""', 'Стратегическое управление муниципалитетами', 'Муниципальное управление и местное самоуправление']",0.5129544397150343,0.4797286812930817,0.4901109669924123
РПД_000092696.docx,Б1.В.17.ДВ.02.0 «Организация инвестиционной деятельности»,«Организация инвестиционной деятельности»,«Эффективное государственное управление»,бакалавр,очная,2023,7,[],0.2414332506697524,0.34740271527090505,0.5061149323567825
РПД_000076328.docx,Б1.В.ДВ.12.01 «Инвестиционный анализ»,«Инвестиционный анализ»,«Эффективное государственное управление»,бакалавр,очная,2022,7,[],0.3246618051643216,0.2693048207040251,0.42596101686059346
РПД_000107157.docx,"Б1.В.ДВ.01.01 «Цифровое общество, введение в искусственный интеллект и разговорные боты»","«Цифровое общество, введение в искусственный интеллект и разговорные боты»",«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,1,[],0.5495227613490956,0.7335876382526435,0.8692198958523019
РПД_000096780.docx,ФТД.05 «Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО»,«Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,1,[],0.5249068504461889,0.5040687252025319,0.5299390248239558
РПД_000098514.docx,Б1.В.05.04 «Кросскультурный менеджмент»,«Кросскультурный менеджмент»,«Управление государственными проектами и программами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,[],0.4892697708954541,0.5923357756699752,0.47228582849998624
РПД_000057589.docx,К.М.11.ДВ.05.02 «Методика экспертизы приоритетных проектов и государственных программ»,«Методика экспертизы приоритетных проектов и государственных программ»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,8,[],0.395938788026372,0.4954253406527616,0.4666043705820616
РПД_000107808.docx,Б1.О.12 «Введение в профессиональную деятельность»,«Введение в профессиональную деятельность»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,1,[],0.528187604020172,0.4685223339187518,0.6687054997072504
РПД_000107200.docx,Б1.В.09.07 «Экологическая политика»,«Экологическая политика»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,4,[],0.43812895220144943,0.4309342203080881,0.27692733759538507
РПД_000110594.docx,Б1.В.03.ДВ.03.0 «Политика государственного сектора (Políticas Públicas Sectoriales)»,«Политика государственного сектора (Políticas Públicas Sectoriales)»,«Политика и право (российско-испанская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,7,[],0.5172773016175362,0.48523181490839495,0.6100468393249684
РПД_000107821.docx,Б1.О.14 «Система государственного и муниципального управления»,«Система государственного и муниципального управления»,«Государственная и муниципальная служба»,бакалавр,очная,2023,"3, 2",[],0.44956408400867076,0.5314565088509555,0.612221888763513
