,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
2847,ФТД.ДВ.01.04 «Жизненная навигация для лиц с ограниченными возможностями здоровья»,«Жизненная навигация для лиц с ограниченными возможностями здоровья»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,1,[],0.3446657611217678,0.42272667335656877,0.4143820232919994
2848,Б1.В.ДВ.03.02 «Разработка и принятие кадровых решений на государственной службе»,«Разработка и принятие кадровых решений на государственной службе»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,5,[],0.5172773016175362,0.4202455310147542,0.34466830181526603
2849,К.М.10.ДВ.01.02 «Муниципальный менеджмент»,«Муниципальный менеджмент»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,6,[],0.3666736317774585,0.4031766014585504,0.4142956783969048
2850,ФТД.03 «Основы безопасности персональных данных в электронной среде»,«Основы безопасности персональных данных в электронной среде»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,1,[],0.25518830275578736,0.5307484511469267,0.4956530706347426
2851,Б1.О.22 «Теория государства и права»,«Теория государства и права»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,2,[],0.49325455226234427,0.649858434679794,0.6100998578200065
2852,Б1.О.04 «Политология»,«Политология»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,5,['Государственная гражданская и муниципальная служба в Российской Федерации'],0.3890847168481674,0.4700014676496276,0.611972003211297
2853,К.М.11.03 «Инвестиционное обеспечение программ устойчивого развития»,«Инвестиционное обеспечение программ устойчивого развития»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,7,[],0.3986343703430688,0.35277768566839435,0.4191838663585368
2854,Б1.В.19.ДВ.02.0 «Должностные регламенты государственных гражданских служащих»,«Должностные регламенты государственных гражданских служащих»,«Государственная и муниципальная служба»,бакалавр,очная,2023,6,[],0.21414510725971028,0.4234069919590463,0.647899906838551
2855,Б1.В.17.ДВ.03.0 «Проектный анализ»,«Проектный анализ»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,7,"['Прогнозирование и планирование', 'Цифровое общество и управление цифровой репутацией', 'Цифровое общество, введение в искусственный интеллект и разговорные боты']",0.33335347296430085,0.30618709135783323,0.38841679533949003
2856,Б1.В.02 «История политических учений (Histoire des idées politiques)»,«История политических учений (Histoire des idées politiques)»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,5,[],0.6298922737448563,0.3922634781399652,0.48357151901319156
2857,ФТД.ДВ.01.02 «Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья»,«Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.6571381678617955,0.6444817071339878,0.875380208287342
2858,Б1.В.ДВ.01.01 «Связи с общественностью в органах власти»,«Связи с общественностью в органах власти»,«Эффективное государственное управление»,бакалавр,очная,2022,3,[],0.33066143158323547,0.37742139561844834,0.5907331469551071
2859,Б1.В.09 «Организация предоставления государственных и муниципальных услуг (Interaction Between Authorities and Business in Digital Government)»,«Организация предоставления государственных и муниципальных услуг (Interaction Between Authorities and Business in Digital Government)»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,6,['Цифровой маркетинг (Digital маркетинг)'],0.5615708065581095,0.48737414634331244,0.42846628720461316
2860,Б1.В.ДВ.05.02 «Система и критерии оценки эффективности государственного и муниципального управления»,«Система и критерии оценки эффективности государственного и муниципального управления»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,6,[],0.3936366739940085,0.33496615209499087,0.438980910222895
2861,Б1.В.ДВ.01.01 «Ответственность государственных и муниципальных служащих»,«Ответственность государственных и муниципальных служащих»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,8,[],0.3504335594425272,0.4928358147182739,0.37329454032068055
2862,ФТД.05 «Академическое письмо и критическое мышление»,«Академическое письмо и критическое мышление»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,2,[],0.18968544198293297,0.3867242771760338,0.6305470878802566
