,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
0,ФТД.06 «Современный менеджмент»,«Современный менеджмент»,«Государственная и муниципальная служба»,бакалавр,очная,2023,1,[],0.41892733846497715,0.4329653319376582,0.519099552019794
1,Б1.В.12 «Трудовое право»,«Трудовое право»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,6,[],0.5017782359532834,0.3963695658508373,0.5952378635396087
2,Б1.В.08 «Нормография: теория и технология нормотворчества»,«Нормография: теория и технология нормотворчества»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,8,['Основы кибернетики'],0.5172773016175362,0.7228255226956701,0.6216397163930154
3,Б1.О.08 «Высшая математика»,«Высшая математика»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,"1, 2",[],0.5614635969521139,0.5385665225397768,0.6738477416684804
4,Б1.В.09.09 «Прогнозирование и моделирование развития экосистем»,«Прогнозирование и моделирование развития экосистем»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,[],0.3468177867281043,0.3485779107439841,0.29402386118205504
5,Б1.О.09 «Информационные технологии в управлении (Экономическая информатика)»,«Информационные технологии в управлении (Экономическая информатика)»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2023,"1, 2",[],0.49255881143071234,0.7730733954124787,0.5134389938237931
6,Б1.В.20.ДВ.03.0 «Механизмы реализации государственной кадровой политики»,«Механизмы реализации государственной кадровой политики»,«Государственная и муниципальная служба»,бакалавр,очная,2022,7,[],0.36102353342235555,0.47869731827384127,0.2766688991336986
7,Б1.О.24 «Административное право (European Competition Law)»,«Административное право (European Competition Law)»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,5,['Конституционное право'],0.34480143397359914,0.526485156890629,0.5966530066598971
8,Б1.В.18.ДВ.04.0 «Управление социальными конфликтами»,«Управление социальными конфликтами»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,8,[],0.3519554198263914,0.5784040125984848,0.4778278548144063
9,ФТД.ДВ.01.02 «Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья»,«Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья»,«Цифровое государство»,бакалавр,очная,2023,1,[],0.5172773016175362,0.6444817071339878,0.49093929863804076
10,Б1.О.15 «Прогнозирование и планирование»,«Прогнозирование и планирование»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,[],0.5026460123878481,0.5953217834629484,0.5029614604843932
11,ФТД.ДВ.01.01 «Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,1,[],0.5249068504461889,0.6421593703881033,0.5340095542179691
12,Б1.В.14 «Правоведение»,«Правоведение»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,3,[],0.3220169632850756,0.39308635540090986,0.40462186946076084
13,К.М.11.05 «Управление рисками программ устойчивого развития»,«Управление рисками программ устойчивого развития»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,7,[],0.395938788026372,0.5070449375561891,0.5257184744753336
14,Б1.В.06 «Управление государственными и муниципальными финансами»,«Управление государственными и муниципальными финансами»,«Государственная и муниципальная служба»,бакалавр,очная,2023,5,[],0.37003606185626237,0.44892221308365354,0.549489179489137
15,Б1.О.26 «Конституционное право»,«Конституционное право»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,3,[],0.34480143397359914,0.4890140375268003,0.6256247398734579
16,Б1.О.25 «Противодействие коррупции»,«Противодействие коррупции»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,4,[],0.6175254967082802,0.5728566184362178,0.5537953320396602
17,Б1.В.10.ДВ.01.0 «Гражданский процесс»,«Гражданский процесс»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,6,[],0.42364174854497133,0.44397721957593667,0.6227314801924982
18,Б1.В.17.01 «Управление проектами и программами»,«Управление проектами и программами»,«Эффективное государственное управление»,бакалавр,очная,2022,6,[],0.26413728942603454,0.4575744847996805,0.33852273027474544
19,Б1.О.03 «Психология»,«Психология»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,2,"['Русский язык и культура речи', 'Введение в профессиональную деятельность']",0.5642480887386508,0.6804618166897851,0.32687429475832963
20,Б1.О.04 «Политология»,«Политология»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,6,"['Государственная гражданская и муниципальная служба в Российской Федерации', 'Документационное обеспечение и делопроизводство в государственном и муниципальном управлении']",0.40916693126914067,0.43248979976931967,0.611972003211297
21,Б1.В.17.ДВ.03.0 «Управление рисками»,«Управление рисками»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,5,[],0.5173158984344369,0.34740271527090505,0.40007635560486804
22,Б1.В.ДВ.05.01 «Оценка эффективности органов власти и служащих»,«Оценка эффективности органов власти и служащих»,«Эффективное государственное управление»,бакалавр,очная,2022,8,[],0.3936366739940085,0.3204076659049479,0.3746784754237286
23,К.М.08.03 «Статистика»,«Статистика»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,4,[],0.2771747892850125,0.27904910379642567,0.6301131408656888
24,Б1.О.03 «Психология»,«Психология»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,2,[],0.5642480887386508,0.6941952105498079,0.36491683239790007
25,Б1.О.20 «Деловые коммуникации»,«Деловые коммуникации»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,3,"['Экономическая теория', 'Русский язык и культура речи']",0.5281840835124215,0.7458818018529032,0.6266093089139251
26,ФТД.ДВ.02.01 «Основы бизнеса»,«Основы бизнеса»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,4,[],0.3446657611217678,0.45511952134195766,0.4288331475704368
27,Б1.В.01 «Современный русский язык»,«Современный русский язык»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,2,[],0.44100596967594513,0.9313095355465102,0.47915938228496935
28,Б1.В.02 «Теория организации»,«Теория организации»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2023,4,[],0.3936366739940085,0.4586479993528025,0.5270399313160078
29,ФТД.01 «Переговорный процесс»,«Переговорный процесс»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,4,[],0.37118978263230124,0.49157725654179246,0.3731351973043725
30,Б1.О.23 «Муниципальное право»,«Муниципальное право»,«Государственная и муниципальная служба»,бакалавр,очная,2022,4,[],0.37857577713634954,0.3188451752719148,0.4330555445937632
31,Б1.О.27 «Основы российской государственности»,«Основы российской государственности»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.458245727906776,0.8625903681401405,0.3857516626435349
32,Б1.О.09 «Информационные технологии в управлении»,«Информационные технологии в управлении»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,"1, 2",[],0.5614635969521139,0.5575688375330402,0.6838122877084806
33,Б1.О.09 «Информационные технологии в управлении»,«Информационные технологии в управлении»,«Эффективное государственное управление»,бакалавр,очно-заочная,2022,"3, 2",[],0.4092341214012452,0.6071180269167236,0.6556066088493127
34,ФТД.06 «Правовые основы избирательного процесса»,«Правовые основы избирательного процесса»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,2,"['Иностранный язык', 'Основы российской государственности', 'Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО', 'Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья', 'Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья']",0.4447000481000987,0.3740302635464801,0.21566792507027865
35,Б1.В.16.01 «Управление проектами и программами»,«Управление проектами и программами»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,6,['Основы маркетинга'],0.44311142541702137,0.6395573122646658,0.33852273027474544
36,Б1.О.02 «Философия»,«Философия»,«Цифровое государство»,бакалавр,очная,2022,2,[],0.4764126596598359,0.6672057284000392,0.5987383174720128
37,Б1.В.10.ДВ.01.0 «Арбитражный процесс»,«Арбитражный процесс»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,6,[],0.4376491007354237,0.4024496223277194,0.5696069445486736
38,Б1.В.03 «Психология управления»,«Психология управления»,«Государственная и муниципальная служба»,бакалавр,очная,2023,5,[],0.4388792159491024,0.5306245195624015,0.604280421175216
39,Б1.О.27 «Основы национальной безопасности»,«Основы национальной безопасности»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,5,[],0.36243275555524945,0.4786034267164769,0.35703889862447674
40,Б1.О.04 «Политология»,«Политология»,«Эффективное государственное управление»,бакалавр,очная,2022,6,[],0.3937896442994829,0.43248979976931967,0.6176022695473387
41,ФТД.ДВ.02.01 «Самоменеджмент»,«Самоменеджмент»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,1,[],0.5172773016175362,0.5695202552577407,0.5463753692774163
42,К.М.01.01 «Безопасность жизнедеятельности»,«Безопасность жизнедеятельности»,«Государственная и муниципальная служба»,бакалавр,очная,2023,1,[],0.40676294250758543,0.5103628262668266,0.5231929792906946
43,Б1.О.12 «Введение в профессиональную деятельность»,«Введение в профессиональную деятельность»,«Эффективное государственное управление»,бакалавр,очная,2022,1,[],0.4864216514013398,0.4685223339187518,0.6789830519206884
44,Б1.В.18.ДВ.03.0 «Государственная кадровая политика»,«Государственная кадровая политика»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,7,[],0.37518752518181964,0.47869731827384127,0.3137576914767086
45,Б1.В.ДВ.07.01 «Управление территориальным развитием и урбанистика»,«Управление территориальным развитием и урбанистика»,«Эффективное государственное управление»,бакалавр,очная,2023,7,[],0.2846319446365432,0.3785779039455098,0.5133247925540586
46,Б1.О.19 «Этика государственной и муниципальной службы»,«Этика государственной и муниципальной службы»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,5,"['История России', 'Всеобщая история', 'Введение в профессиональную деятельность', 'Муниципальное право', 'Психология']",0.42852769839850235,0.46977620251636476,0.6117382124675725
47,ФТД.01 «Судебная власть и правосудие»,«Судебная власть и правосудие»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,5,['Информационно-аналитическое сопровождение деятельности органов государственной власти и местного самоуправления'],0.4811292439879223,0.4318096125305142,0.36327158631663425
48,Б1.В.ДВ.08.02 «Основы математического моделирования социально-экономических процессов»,«Основы математического моделирования социально-экономических процессов»,«Цифровое государство»,бакалавр,очная,2022,8,[],0.5173158984344369,0.5779394000781881,0.48537582562868253
49,К.М.01.03 «Политология»,«Политология»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,1,[],0.57443773659483,0.5693316370062422,0.41890557481749274
50,Б1.В.ДВ.03.02 «Технологии переговорного процесса»,«Технологии переговорного процесса»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2023,7,[],0.3200119369774922,0.4012239136013939,0.41657023452329317
51,Б1.О.08 «Высшая математика»,«Высшая математика»,«Эффективное государственное управление»,бакалавр,очная,2023,2,[],0.4748929210928051,0.5173195754105618,0.5605403540876642
52,К.М.11.ДВ.03.01 «Управление проектами развития образования»,«Управление проектами развития образования»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,7,[],0.2686975918700535,0.25321032022071,0.6342047272805923
53,Б1.В.ДВ.04.01 «Управление территориальным развитием и урбанистика»,«Управление территориальным развитием и урбанистика»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,7,[],0.3375483727643324,0.3785779039455098,0.507548854280677
54,Б1.В.21.01 «Реформирование и развитие системы государственной службы РФ»,«Реформирование и развитие системы государственной службы РФ»,«Государственная и муниципальная служба»,бакалавр,очная,2022,8,[],0.5172773016175362,0.440546294026611,0.534065410635399
55,Б1.В.07 «Социальная психология»,«Социальная психология»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,5,[],0.5173158984344369,0.39792691159300775,0.4752620502652518
56,"Б1.В.03 «Система искусственного интеллекта (Collaborative Management, Networking and Social Innovation)»","«Система искусственного интеллекта (Collaborative Management, Networking and Social Innovation)»",«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,7,"['Теория вероятностей', 'Основы кибернетики', 'Статистика', 'Системы управления базами данных']",0.3901634282781958,0.595864841731671,0.5598292486975641
57,ФТД.ДВ.02.01 «Самоменеджмент»,«Самоменеджмент»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,1,[],0.5172773016175362,0.5695202552577407,0.5463753692774163
58,Б1.О.05 «Социология»,«Социология»,«Эффективное государственное управление»,бакалавр,очная,2022,3,[],0.4092341214012452,0.36530837396913385,0.5335812833506484
59,К.М.12.ДВ.01.06 «Физическая культура и спорт: легкая атлетика»,«Физическая культура и спорт: легкая атлетика»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,"3, 4, 2, 5, 6, 1",[],0.4027329730201643,0.3818125759012583,0.5136693475421691
60,ФТД.02 «Этно-религиозные традиции народов России: история и современные процессы»,«Этно-религиозные традиции народов России: история и современные процессы»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,2,[],0.3597711428421736,0.5892985682577866,0.6686548047256266
61,Б1.О.27 «Основы национальной безопасности»,«Основы национальной безопасности»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2023,5,[],0.3929003204354287,0.4786034267164769,0.35703889862447674
62,Б1.В.08 «Основы математического моделирования социально-экономических процессов»,«Основы математического моделирования социально-экономических процессов»,«Эффективное государственное управление»,бакалавр,очно-заочная,2022,4,[],0.3063482400387577,0.45934770641154643,0.4974913734932684
63,Б1.В.14 «Финансовое право (Entrepreneurship)»,«Финансовое право (Entrepreneurship)»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,5,['Информационное право'],0.562494692192998,0.615770003855171,0.533612616713876
64,Б1.О.08 «Высшая математика»,«Высшая математика»,«Политика и право (российско-французская программа с углубленным изучением иностранных языков)»,бакалавр,очная,2022,1,[],0.4092341214012452,0.49820777081362627,0.5601155138972665
65,К.М.09.01 «Государственная и муниципальная служба»,«Государственная и муниципальная служба»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,4,[],0.484960835920521,0.6430051387591478,0.471154772900651
66,Б1.В.17.ДВ.05.0 «Консалтинг в рекламе и PR»,«Консалтинг в рекламе и PR»,«Общественные связи и медиакоммуникации в государственном и муниципальном управлении»,бакалавр,очная,2023,7,"['Технологии формирования имиджа', 'Профессиональные творческие студии']",0.41276480755942896,0.35352382997725584,0.6890209284999704
67,К.М.01.03 «Политология»,«Политология»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,1,[],0.57443773659483,0.0,0.41890557481749274
68,Б1.В.ДВ.03.02 «Муниципальное управление и местное самоуправление»,«Муниципальное управление и местное самоуправление»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,6,"['Практикум ""Внутренняя политика""', 'Статистические методы в государственном и муниципальном управлении', 'Институты гражданского общества']",0.35107907952823475,0.5128657026553283,0.4139969301411651
69,Б1.В.07 «Оценка регулирующего воздействия»,«Оценка регулирующего воздействия»,«Эффективное государственное управление»,бакалавр,очная,2022,6,[],0.3470675473412847,0.3925498978822797,0.38996354678412637
70,Б1.В.10 «Контрольно-надзорная деятельность органов государственной власти»,«Контрольно-надзорная деятельность органов государственной власти»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,7,"['Философия', 'Противодействие коррупции']",0.25448883876599526,0.5322767646666725,0.5722613545693557
71,Б1.В.10 «Региональное управление и территориальное планирование»,«Региональное управление и территориальное планирование»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,7,[],0.26413728942603454,0.37540529712883125,0.5194772161705804
72,Б1.О.21 «Документационное обеспечение и делопроизводство в государственном и муниципальном управлении»,«Документационное обеспечение и делопроизводство в государственном и муниципальном управлении»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,3,[],0.3937896442994829,0.49391553729960735,0.692979337481892
73,Б1.О.07 «Русский язык и культура речи»,«Русский язык и культура речи»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,1,[],0.5324651678583728,0.3483491722097258,0.4474955271479325
74,Б1.О.ДВ.01.03 «Введение в профессиональную деятельность (Introducción a la profesión)»,«Введение в профессиональную деятельность (Introducción a la profesión)»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2023,1,[],0.528187604020172,0.4685223339187518,0.5544194824408987
75,Б1.В.21.ДВ.06.0 «Документационное обеспечение управления персоналом государственной и муниципальной службы»,«Документационное обеспечение управления персоналом государственной и муниципальной службы»,«Государственная и муниципальная служба»,бакалавр,очная,2022,5,[],0.49303916897397226,0.6806043015185455,0.5441848936085865
76,ФТД.В.03 «Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО»,«Организация добровольческой (волонтерской) деятельности и взаимодействие с социально ориентированными НКО»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,5,[],0.24890993009365636,0.4916823567826228,0.6662892824298535
77,Б1.В.01 «Социальные основы цифрового государства (Research Dissertation)»,«Социальные основы цифрового государства (Research Dissertation)»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,7,[],0.5172773016175362,0.4916395044111397,0.5278973607693457
78,Б1.В.18.01 «Государственное регулирование экономики»,«Государственное регулирование экономики»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,6,"['Экономическая социология', 'Социология управления', 'Экономика общественного сектора']",0.5184007182762322,0.6164927271486492,0.6705044560046249
79,Б1.В.10.ДВ.01.0 «Гражданский процесс»,«Гражданский процесс»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,6,[],0.4376491007354237,0.44397721957593667,0.6227314801924982
80,ФТД.ДВ.02.02 «Тайм-менеджмент»,«Тайм-менеджмент»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,1,[],0.4518449822197724,0.41219926212942515,0.5084470228418579
81,Б1.О.03 «Психология»,«Психология»,«Эффективное государственное управление»,бакалавр,очно-заочная,2022,2,[],0.5642480887386508,0.6804618166897851,0.36491683239790007
82,ФТД.ДВ.02.01 «Тайм-менеджмент»,«Тайм-менеджмент»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,1,[],0.3189613543811608,0.6421593703881033,0.3474997626479421
83,К.М.01.01 «Безопасность жизнедеятельности»,«Безопасность жизнедеятельности»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2023,1,[],0.35127634890018317,0.0,0.4882942800528316
84,Б1.В.ДВ.08.01 «Связи с общественностью в органах власти»,«Связи с общественностью в органах власти»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,8,"['Кросскультурный менеджмент', 'Цифровое государство', 'Переговорный процесс']",0.37118978263230124,0.5671404436742052,0.5909658997908807
85,ФТД.02 «Этно-религиозные традиции народов России: история и современные процессы»,«Этно-религиозные традиции народов России: история и современные процессы»,«Государственная и муниципальная служба»,бакалавр,очная,2022,2,[],0.41363329541341676,0.3165826626830157,0.5719449402169194
86,Б1.В.16 «Административные регламенты государственных и муниципальных органов»,«Административные регламенты государственных и муниципальных органов»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2023,8,[],0.3230805974354549,0.35141715599256285,0.6762044594108353
87,К.М.02.04 «Национальные и федеративные отношения»,«Национальные и федеративные отношения»,«Внутренняя политика и лидерство»,бакалавр,очная,2023,8,"['Государственное регулирование экономики', 'Политическая философия', 'Практикум ""Внутренняя политика""', 'Управление наукой и инновациями', 'Управление в сфере культуры', 'Парламентская деятельность']",0.289174772311615,0.43379016010750904,0.5122680523841744
88,Б1.О.23 «Муниципальное право»,«Муниципальное право»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,4,['Конституционное право'],0.37857577713634954,0.32439153271371685,0.4371005454404744
89,Б1.В.13 «Экономическая оценка инвестиций»,«Экономическая оценка инвестиций»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2022,7,['Рынок ценных бумаг'],0.6657786622051798,0.6045183099467338,0.6140929204738839
90, «Управление территориальным развитием и урбанистика»,«Управление территориальным развитием и урбанистика»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,,"['Государственное управление природопользованием', 'Экологическая политика']",0.4488735226995399,0.4082955689200744,0.5133247925540586
91,Б1.В.09.ДВ.04.0 «Технологическая устойчивость в условиях глобальных угроз»,«Технологическая устойчивость в условиях глобальных угроз»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,6,[],0.4042718286182547,0.3712127127680381,0.33117045667101785
92,К.М.10.03 «Принятие и исполнение управленческих решений»,«Принятие и исполнение управленческих решений»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,5,[],0.3666736317774585,0.32643028342237956,0.36594088589600654
93,ФТД.ДВ.01.01 «Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Эффективное государственное управление»,бакалавр,очная,2023,1,[],0.3885441746965695,0.4210264161944591,0.5340095542179691
94,Б1.О.28 «Основы национальной безопасности»,«Основы национальной безопасности»,«Эффективное государственное управление»,бакалавр,очная,2023,5,[],0.3929003204354287,0.4786034267164769,0.35703889862447674
95,Б1.В.10 «Оценка регулирующего воздействия»,«Оценка регулирующего воздействия»,«Государственная и муниципальная служба»,бакалавр,очная,2023,6,[],0.45773864072221837,0.3925498978822797,0.38996354678412637
96,Б1.В.ДВ.02.02 «Кадровые процессы и кадровые отношения»,«Кадровые процессы и кадровые отношения»,«Государственная и муниципальная служба»,бакалавр,очная,2022,3,[],0.5172773016175362,0.47869731827384127,0.5556134109177722
97,ФТД.05 «Формирование общегражданской идентичности: этнические и религиозные аспекты»,«Формирование общегражданской идентичности: этнические и религиозные аспекты»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,2,['Иностранный язык'],0.41363329541341676,0.5034516627740934,0.5037532240407848
98,Б1.В.13 «Статистические методы в государственном и муниципальном управлении»,«Статистические методы в государственном и муниципальном управлении»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,4,"['Практикум ""Внутренняя политика""']",0.5738414626577799,0.4679798377804035,0.3320119485995795
99,Б1.В.09.ДВ.07.0 «Государственная политика в области образования»,«Государственная политика в области образования»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,5,[],0.24672707642229424,0.43420959681072085,0.5065839858229875
100,К.М.06.01 «Информационные системы и технологии»,«Информационные системы и технологии»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,2,[],0.5095233743483335,0.643483371512064,0.4668819282178512
101,Б1.В.07 «Нормография: теория и технология нормотворчества»,«Нормография: теория и технология нормотворчества»,«Цифровое государство»,бакалавр,очная,2023,8,['Основы кибернетики'],0.5172773016175362,0.7228255226956701,0.6216397163930154
102,Б1.В.02 «Конституционное право»,«Конституционное право»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,4,[],0.2619862341381817,0.7200854154624382,0.59700220044095
103,Б1.О.24 «Административное право»,«Административное право»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,6,[],0.34480143397359914,0.5077555794061224,0.6933871618419843
104,К.М.11.ДВ.01.01 «Управление рисками чрезвычайных ситуаций»,«Управление рисками чрезвычайных ситуаций»,«Государственное управление устойчивым развитием»,бакалавр,очная,2021,7,[],0.41867277971902883,0.4192944493924655,0.5402338531781973
105,Б1.О.10 «Экономическая теория»,«Экономическая теория»,«Государственное управление и правовое регулирование (с углубленным изучением иностранных языков и правовых дисциплин)»,бакалавр,очная,2023,"1, 2",[],0.4471916677620288,0.6707863220064824,0.7111248308987358
